plot,h_mean,h_max,h_min,h_med,geometry
301,96.7,98.1,93.89999999999999,97.39999999999999,"list(c(385616.57251616, 385616.572516228, 385616.572516296, 385616.572516324, 385617, 385617.418830592, 385617.418830564, 385617.418830496, 385617.418830427, 385617.418830387, 385617, 385616.57251612, 385616.57251616, 3638143.8, 3638144.4, 3638145, 3638145.24249837, 3638145.24249832, 3638145.24249828, 3638145, 3638144.4, 3638143.8, 3638143.44728575, 3638143.4472858, 3638143.44728584, 3638143.8))"
302,71.08888888888889,81.5,63.1,69.1,"list(c(385622.983987837, 385622.983987884, 385622.983987952, 385622.983988013, 385623, 385623.6, 385623.907239941, 385623.90723988, 385623.907239812, 385623.907239765, 385623.6, 385623, 385622.983987837, 3638143.38317042, 3638143.8, 3638144.4, 3638144.93474696, 3638144.93474695, 3638144.93474689, 3638144.93474686, 3638144.4, 3638143.8, 3638143.38317032, 3638143.38317035, 3638143.38317042, 3638143.38317042))"
303,100.95,107.3,90.60000000000001,101.1,"list(c(385630.25596294, 385630.255963009, 385630.255963077, 385630.255963121, 385630.8, 385631.235703015, 385631.23570297, 385631.235702902, 385631.235702833, 385631.235702805, 385630.8, 385630.255962912, 385630.25596294, 3638146.2, 3638146.8, 3638147.4, 3638147.78574966, 3638147.7857496, 3638147.78574955, 3638147.4, 3638146.8, 3638146.2, 3638145.95120259, 3638145.95120264, 3638145.9512027, 3638146.2))"
304,90.75,94.39999999999999,85.2,91.65,"list(c(385637.530087375, 385637.530087443, 385637.530087511, 385637.530087561, 385638, 385638.511631004, 385638.511630954, 385638.511630886, 385638.511630818, 385638.511630778, 385638, 385637.530087335, 385637.530087375, 3638145.6, 3638146.2, 3638146.8, 3638147.23854509, 3638147.23854504, 3638147.23854499, 3638146.8, 3638146.2, 3638145.6, 3638145.2459375, 3638145.24593756, 3638145.24593761, 3638145.6))"
305,102.03999999999999,113.19999999999999,90.2,102.4,"list(c(385645.8, 385645.747943363, 385645.74794338, 385645.747943448, 385645.747943516, 385645.747943584, 385645.747943602, 385645.8, 385646.4, 385646.724530945, 385646.724530928, 385646.72453086, 385646.724530791, 385646.724530723, 385646.724530706, 385646.4, 385645.8, 3638146.05171884, 3638146.05171885, 3638146.2, 3638146.8, 3638147.4, 3638148, 3638148.15643347, 3638148.15643346, 3638148.1564334, 3638148.15643336, 3638148, 3638147.4, 3638146.8, 3638146.2, 3638146.05171874, 3638146.05171878, 3638146.05171884
))"
306,101.02666666666667,110.9,87.6,100.8,"list(c(385652.4, 385652.189626466, 385652.189626522, 385652.18962659, 385652.189626658, 385652.189626727, 385652.18962673, 385652.4, 385653, 385653.203249856, 385653.203249853, 385653.203249785, 385653.203249716, 385653.203249648, 385653.203249592, 385653, 385652.4, 3638145.11064196, 3638145.11064198, 3638145.6, 3638146.2, 3638146.8, 3638147.4, 3638147.42653645, 3638147.42653643, 3638147.42653636, 3638147.42653634, 3638147.4, 3638146.8, 3638146.2, 3638145.6, 3638145.11064187, 3638145.1106419, 3638145.11064196
))"
401,78.9375,80,77.9,79.4,"list(c(385614.756245598, 385614.756245665, 385614.756245733, 385614.75624574, 385615.2, 385615.726203242, 385615.726203235, 385615.726203166, 385615.726203098, 385615.726203037, 385615.2, 385614.756245537, 385614.756245598, 3638180.4, 3638181, 3638181.6, 3638181.66740849, 3638181.66740845, 3638181.66740839, 3638181.6, 3638181, 3638180.4, 3638179.85975987, 3638179.85975993, 3638179.85975998, 3638180.4))"
402,102.5375,119.19999999999999,91.10000000000001,100.44999999999999,"list(c(385623.111106797, 385623.111106866, 385623.111106935, 385623.11110695, 385623.6, 385624.08106445, 385624.081064435, 385624.081064368, 385624.0810643, 385624.081064251, 385623.6, 385623.111106748, 385623.111106797, 3638180.4, 3638181, 3638181.6, 3638181.73354107, 3638181.73354102, 3638181.73354097, 3638181.6, 3638181, 3638180.4, 3638179.96998144, 3638179.9699815, 3638179.96998155, 3638180.4))"
403,72.0125,75.7,68.2,72.3,"list(c(385630.341699079, 385630.341699147, 385630.341699215, 385630.341699228, 385630.8, 385631.377790193, 385631.377790181, 385631.377790113, 385631.377790045, 385631.377789996, 385630.8, 385630.34169903, 385630.341699079, 3638180.4, 3638181, 3638181.6, 3638181.7114958, 3638181.71149575, 3638181.71149569, 3638181.6, 3638181, 3638180.4, 3638179.96998066, 3638179.96998072, 3638179.96998077, 3638180.4))"
404,84.76666666666667,93.8,79.80000000000001,84.89999999999999,"list(c(385638, 385637.66046917, 385637.660469175, 385637.660469244, 385637.660469312, 385637.660469372, 385638, 385638.6, 385638.652471361, 385638.652471302, 385638.652471233, 385638.652471165, 385638.652471159, 385638.6, 385638, 3638179.15433366, 3638179.1543337, 3638179.2, 3638179.8, 3638180.4, 3638180.91789322, 3638180.91789319, 3638180.91789312, 3638180.91789311, 3638180.4, 3638179.8, 3638179.2, 3638179.15433359, 3638179.15433359, 3638179.15433366))"
405,78.22666666666666,89.5,70.8,76.3,"list(c(385645.2, 385645.023328591, 385645.023328593, 385645.023328661, 385645.023328729, 385645.023328797, 385645.023328836, 385645.2, 385645.8, 385645.993286337, 385645.993286297, 385645.993286229, 385645.993286161, 385645.993286093, 385645.993286091, 385645.8, 385645.2, 3638180.98402589, 3638180.98402591, 3638181, 3638181.6, 3638182.2, 3638182.8, 3638183.14438633, 3638183.14438631, 3638183.14438624, 3638183.14438622, 3638182.8, 3638182.2, 3638181.6, 3638181, 3638180.9840258, 3638180.98402583, 3638180.98402589
))"
406,102.35833333333333,116.5,77.2,104.5,"list(c(385652.4, 385652.283375042, 385652.283375068, 385652.283375136, 385652.283375204, 385652.283375249, 385652.4, 385653, 385653.272783769, 385653.272783725, 385653.272783656, 385653.272783588, 385653.272783562, 385653, 385652.4, 3638178.97204822, 3638178.97204823, 3638179.2, 3638179.8, 3638180.4, 3638180.78932963, 3638180.78932962, 3638180.78932956, 3638180.78932953, 3638180.4, 3638179.8, 3638179.2, 3638178.97204813, 3638178.97204816, 3638178.97204822))"
407,80.79333333333334,91.3,73.4,79.60000000000001,"list(c(385615.8, 385615.667453991, 385615.667454011, 385615.66745408, 385615.667454148, 385615.667454217, 385615.66745423, 385615.8, 385616.4, 385616.624259138, 385616.624259124, 385616.624259056, 385616.624258988, 385616.62425892, 385616.624258899, 385616.4, 385615.8, 3638168.22127525, 3638168.22127527, 3638168.4, 3638169, 3638169.6, 3638170.2, 3638170.3211662, 3638170.32116619, 3638170.32116612, 3638170.3211661, 3638170.2, 3638169.6, 3638169, 3638168.4, 3638168.22127516, 3638168.22127519, 3638168.22127525
))"
